id1,id2,name1,name2,F_inliers,H_inliers,R_(H/F),삼각측량 각도,plane_dominant
5,8,filter_B1_04_01.jpg,filter_B1_05_01.jpg,34,16,0.470588235,29.37513626,FALSE
5,9,filter_B1_04_01.jpg,filter_B1_05_02.jpg,34,20,0.588235294,25.01663091,FALSE
5,7,filter_B1_04_01.jpg,filter_B1_05_00.jpg,34,16,0.470588235,21.68710851,FALSE
6,8,filter_B1_04_02.jpg,filter_B1_05_01.jpg,28,16,0.571428571,26.08934311,FALSE
4,7,filter_B1_04_00.jpg,filter_B1_05_00.jpg,26,24,0.923076923,0.133367934,FALSE
4,9,filter_B1_04_00.jpg,filter_B1_05_02.jpg,25,22,0.88,0.192063228,FALSE
6,7,filter_B1_04_02.jpg,filter_B1_05_00.jpg,23,19,0.826086957,26.02852679,FALSE
4,8,filter_B1_04_00.jpg,filter_B1_05_01.jpg,22,19,0.863636364,1.719916988,FALSE
3,8,filter_B1_02_02.jpg,filter_B1_05_01.jpg,21,6,0.285714286,44.99342032,FALSE
5,12,filter_B1_04_01.jpg,filter_B1_08_02.jpg,20,11,0.55,61.28362699,FALSE
2,7,filter_B1_02_01.jpg,filter_B1_05_00.jpg,20,5,0.25,20.04279228,FALSE
2,8,filter_B1_02_01.jpg,filter_B1_05_01.jpg,20,6,0.3,14.61899485,FALSE
1,7,filter_B1_02_00.jpg,filter_B1_05_00.jpg,19,6,0.315789474,73.98093606,FALSE
2,9,filter_B1_02_01.jpg,filter_B1_05_02.jpg,19,6,0.315789474,33.91276218,FALSE
4,10,filter_B1_04_00.jpg,filter_B1_08_00.jpg,19,14,0.736842105,13.46242746,FALSE
4,11,filter_B1_04_00.jpg,filter_B1_08_01.jpg,16,14,0.875,0.24252223,FALSE
1,9,filter_B1_02_00.jpg,filter_B1_05_02.jpg,15,9,0.6,0.609404132,FALSE
6,9,filter_B1_04_02.jpg,filter_B1_05_02.jpg,15,14,0.933333333,0.12050574,FALSE
5,10,filter_B1_04_01.jpg,filter_B1_08_00.jpg,14,11,0.785714286,26.99384594,FALSE
1,8,filter_B1_02_00.jpg,filter_B1_05_01.jpg,14,8,0.571428571,1.960287711,FALSE
4,12,filter_B1_04_00.jpg,filter_B1_08_02.jpg,13,11,0.846153846,1.540283469,FALSE
6,12,filter_B1_04_02.jpg,filter_B1_08_02.jpg,12,8,0.666666667,56.00810973,FALSE
3,9,filter_B1_02_02.jpg,filter_B1_05_02.jpg,11,5,0.454545455,82.87084605,FALSE
6,11,filter_B1_04_02.jpg,filter_B1_08_01.jpg,11,7,0.636363636,1.071346354,FALSE
6,10,filter_B1_04_02.jpg,filter_B1_08_00.jpg,11,5,0.454545455,0.924373044,FALSE
5,11,filter_B1_04_01.jpg,filter_B1_08_01.jpg,11,5,0.454545455,0.412750889,FALSE
